Date,Date_Number,Time,Time_Fraction,HT R Phase Current
28-12-2018,43462.00,06:40:00,0.277777778,0.69
28-12-2018,43462.00,06:45:00,0.28125,0
28-12-2018,43462.00,06:50:00,0.284722222,0
28-12-2018,43462.00,06:55:00,0.288194444,0
28-12-2018,43462.00,07:00:00,0.291666667,1.89
28-12-2018,43462.00,07:05:00,0.295138889,2.77
28-12-2018,43462.00,07:10:00,0.298611111,0
28-12-2018,43462.00,07:15:00,0.302083333,0
28-12-2018,43462.00,07:20:00,0.305555556,6.72
28-12-2018,43462.00,07:25:00,0.309027778,8.77
29-12-2018,43463.00,04:30:00,0.1875,0.09
29-12-2018,43463.00,04:35:00,0.190972222,0.09
29-12-2018,43463.00,04:40:00,0.194444444,0.09
29-12-2018,43463.00,04:45:00,0.197916667,0.09
29-12-2018,43463.00,04:50:00,0.201388889,0.09
29-12-2018,43463.00,04:55:00,0.204861111,0.09
29-12-2018,43463.00,05:00:00,0.208333333,0.09
29-12-2018,43463.00,05:05:00,0.211805556,0.09
29-12-2018,43463.00,05:10:00,0.215277778,0.09
29-12-2018,43463.00,05:15:00,0.21875,0.09
29-12-2018,43463.00,05:20:00,0.222222222,0.09
29-12-2018,43463.00,05:25:00,0.225694444,0.09
29-12-2018,43463.00,05:30:00,0.229166667,0.09
29-12-2018,43463.00,05:35:00,0.232638889,0.09
29-12-2018,43463.00,05:40:00,0.236111111,0.09
29-12-2018,43463.00,05:45:00,0.239583333,0.09
29-12-2018,43463.00,05:50:00,0.243055556,0.09
29-12-2018,43463.00,05:55:00,0.246527778,0.09
29-12-2018,43463.00,06:00:00,0.25,0.09
29-12-2018,43463.00,06:05:00,0.253472222,0.09
29-12-2018,43463.00,06:10:00,0.256944444,0.09
29-12-2018,43463.00,06:15:00,0.260416667,0.09
29-12-2018,43463.00,06:20:00,0.263888889,0.09
29-12-2018,43463.00,06:25:00,0.267361111,0.09
29-12-2018,43463.00,06:30:00,0.270833333,0.09
29-12-2018,43463.00,06:35:00,0.274305556,0.6
29-12-2018,43463.00,06:40:00,0.277777778,0
29-12-2018,43463.00,06:45:00,0.28125,0.87
29-12-2018,43463.00,06:50:00,0.284722222,1.03
29-12-2018,43463.00,06:55:00,0.288194444,1.49
29-12-2018,43463.00,07:00:00,0.291666667,2.15
29-12-2018,43463.00,07:05:00,0.295138889,3.03
29-12-2018,43463.00,07:10:00,0.298611111,4.27
29-12-2018,43463.00,07:15:00,0.302083333,5.91
29-12-2018,43463.00,07:20:00,0.305555556,7.92
29-12-2018,43463.00,07:25:00,0.309027778,10.15
30-12-2018,43464.00,04:30:00,0.1875,0.17
30-12-2018,43464.00,04:35:00,0.190972222,0.17
30-12-2018,43464.00,04:40:00,0.194444444,0.17
30-12-2018,43464.00,04:45:00,0.197916667,0.17
30-12-2018,43464.00,04:50:00,0.201388889,0.17
30-12-2018,43464.00,04:55:00,0.204861111,0.17
30-12-2018,43464.00,05:00:00,0.208333333,0.17
30-12-2018,43464.00,05:05:00,0.211805556,0.17
30-12-2018,43464.00,05:10:00,0.215277778,0.17
30-12-2018,43464.00,05:15:00,0.21875,0.17
30-12-2018,43464.00,05:20:00,0.222222222,0.17
30-12-2018,43464.00,05:25:00,0.225694444,0.17
30-12-2018,43464.00,05:30:00,0.229166667,0.17
30-12-2018,43464.00,05:35:00,0.232638889,0.17
30-12-2018,43464.00,05:40:00,0.236111111,0.17
30-12-2018,43464.00,05:45:00,0.239583333,0.17
30-12-2018,43464.00,05:50:00,0.243055556,0.17
30-12-2018,43464.00,05:55:00,0.246527778,0.17
30-12-2018,43464.00,06:00:00,0.25,0.17
30-12-2018,43464.00,06:05:00,0.253472222,0.17
30-12-2018,43464.00,06:10:00,0.256944444,0.17
30-12-2018,43464.00,06:15:00,0.260416667,0.17
30-12-2018,43464.00,06:20:00,0.263888889,0.17
30-12-2018,43464.00,06:25:00,0.267361111,0.17
30-12-2018,43464.00,06:30:00,0.270833333,0.17
30-12-2018,43464.00,06:35:00,0.274305556,0.25
30-12-2018,43464.00,06:40:00,0.277777778,0.69
30-12-2018,43464.00,06:45:00,0.28125,0.79
30-12-2018,43464.00,06:50:00,0.284722222,0.94
30-12-2018,43464.00,06:55:00,0.288194444,1.33
30-12-2018,43464.00,07:00:00,0.291666667,1.97
30-12-2018,43464.00,07:05:00,0.295138889,2.83
30-12-2018,43464.00,07:10:00,0.298611111,3.98
30-12-2018,43464.00,07:15:00,0.302083333,5.46
30-12-2018,43464.00,07:20:00,0.305555556,7.16
30-12-2018,43464.00,07:25:00,0.309027778,9.14
31-12-2018,43465.00,04:30:00,0.1875,0.16
31-12-2018,43465.00,04:35:00,0.190972222,0.16
31-12-2018,43465.00,04:40:00,0.194444444,0.16
31-12-2018,43465.00,04:45:00,0.197916667,0.16
31-12-2018,43465.00,04:50:00,0.201388889,0.16
31-12-2018,43465.00,04:55:00,0.204861111,0.16
31-12-2018,43465.00,05:00:00,0.208333333,0.16
31-12-2018,43465.00,05:05:00,0.211805556,0.16
31-12-2018,43465.00,05:10:00,0.215277778,0.16
31-12-2018,43465.00,05:15:00,0.21875,0.16
31-12-2018,43465.00,05:20:00,0.222222222,0.16
31-12-2018,43465.00,05:25:00,0.225694444,0.16
31-12-2018,43465.00,05:30:00,0.229166667,0.16
31-12-2018,43465.00,05:35:00,0.232638889,0.16
31-12-2018,43465.00,05:40:00,0.236111111,0.16
31-12-2018,43465.00,05:45:00,0.239583333,0.16
31-12-2018,43465.00,05:50:00,0.243055556,0.16
31-12-2018,43465.00,05:55:00,0.246527778,0.16
31-12-2018,43465.00,06:00:00,0.25,0.16
31-12-2018,43465.00,06:05:00,0.253472222,0.16
31-12-2018,43465.00,06:10:00,0.256944444,0.16
31-12-2018,43465.00,06:15:00,0.260416667,0.16
31-12-2018,43465.00,06:20:00,0.263888889,0.16
31-12-2018,43465.00,06:25:00,0.267361111,0.16
31-12-2018,43465.00,06:30:00,0.270833333,0.16
31-12-2018,43465.00,06:35:00,0.274305556,0.26
31-12-2018,43465.00,06:40:00,0.277777778,0.67
31-12-2018,43465.00,06:45:00,0.28125,0.76
31-12-2018,43465.00,06:50:00,0.284722222,0.95
31-12-2018,43465.00,06:55:00,0.288194444,1.33
31-12-2018,43465.00,07:00:00,0.291666667,2
31-12-2018,43465.00,07:05:00,0.295138889,2.88
31-12-2018,43465.00,07:10:00,0.298611111,4.17
31-12-2018,43465.00,07:15:00,0.302083333,6.02
31-12-2018,43465.00,07:20:00,0.305555556,8.24
31-12-2018,43465.00,07:25:00,0.309027778,10.84
01-01-2019,43466.00,04:30:00,0.1875,0.1
01-01-2019,43466.00,04:35:00,0.190972222,0.1
01-01-2019,43466.00,04:40:00,0.194444444,0.1
01-01-2019,43466.00,04:45:00,0.197916667,0.1
01-01-2019,43466.00,04:50:00,0.201388889,0.1
01-01-2019,43466.00,04:55:00,0.204861111,0.1
01-01-2019,43466.00,05:00:00,0.208333333,0.1
01-01-2019,43466.00,05:05:00,0.211805556,0.1
01-01-2019,43466.00,05:10:00,0.215277778,0.1
01-01-2019,43466.00,05:15:00,0.21875,0.1
01-01-2019,43466.00,05:20:00,0.222222222,0.1
01-01-2019,43466.00,05:25:00,0.225694444,0.1
01-01-2019,43466.00,05:30:00,0.229166667,0.1
01-01-2019,43466.00,05:35:00,0.232638889,0.1
01-01-2019,43466.00,05:40:00,0.236111111,0.1
01-01-2019,43466.00,05:45:00,0.239583333,0.1
01-01-2019,43466.00,05:50:00,0.243055556,0.1
01-01-2019,43466.00,05:55:00,0.246527778,0.1
01-01-2019,43466.00,06:00:00,0.25,0.1
01-01-2019,43466.00,06:05:00,0.253472222,0.1
01-01-2019,43466.00,06:10:00,0.256944444,0.1
01-01-2019,43466.00,06:15:00,0.260416667,0.1
01-01-2019,43466.00,06:20:00,0.263888889,0.1
01-01-2019,43466.00,06:25:00,0.267361111,0.1
01-01-2019,43466.00,06:30:00,0.270833333,0.1
01-01-2019,43466.00,06:35:00,0.274305556,0.25
01-01-2019,43466.00,06:40:00,0.277777778,0
01-01-2019,43466.00,06:45:00,0.28125,0.76
01-01-2019,43466.00,06:50:00,0.284722222,0.93
01-01-2019,43466.00,06:55:00,0.288194444,1.31
01-01-2019,43466.00,07:00:00,0.291666667,1.95
01-01-2019,43466.00,07:05:00,0.295138889,2.88
01-01-2019,43466.00,07:10:00,0.298611111,4.38
01-01-2019,43466.00,07:15:00,0.302083333,6.45
01-01-2019,43466.00,07:20:00,0.305555556,8.87
01-01-2019,43466.00,07:25:00,0.309027778,11.73
02-01-2019,43467.00,04:30:00,0.1875,0.09
02-01-2019,43467.00,04:35:00,0.190972222,0.09
02-01-2019,43467.00,04:40:00,0.194444444,0.09
02-01-2019,43467.00,04:45:00,0.197916667,0.09
02-01-2019,43467.00,04:50:00,0.201388889,0.09
02-01-2019,43467.00,04:55:00,0.204861111,0.09
02-01-2019,43467.00,05:00:00,0.208333333,0.09
02-01-2019,43467.00,05:05:00,0.211805556,0.09
02-01-2019,43467.00,05:10:00,0.215277778,0.09
02-01-2019,43467.00,05:15:00,0.21875,0.09
02-01-2019,43467.00,05:20:00,0.222222222,0.09
02-01-2019,43467.00,05:25:00,0.225694444,0.09
02-01-2019,43467.00,05:30:00,0.229166667,0.09
02-01-2019,43467.00,05:35:00,0.232638889,0.09
02-01-2019,43467.00,05:40:00,0.236111111,0.09
02-01-2019,43467.00,05:45:00,0.239583333,0.09
02-01-2019,43467.00,05:50:00,0.243055556,0.09
02-01-2019,43467.00,05:55:00,0.246527778,0.09
02-01-2019,43467.00,06:00:00,0.25,0.09
02-01-2019,43467.00,06:05:00,0.253472222,0.09
02-01-2019,43467.00,06:10:00,0.256944444,0.09
02-01-2019,43467.00,06:15:00,0.260416667,0.09
02-01-2019,43467.00,06:20:00,0.263888889,0.09
02-01-2019,43467.00,06:25:00,0.267361111,0.09
02-01-2019,43467.00,06:30:00,0.270833333,0.09
02-01-2019,43467.00,06:35:00,0.274305556,0.16
02-01-2019,43467.00,06:40:00,0.277777778,0.63
02-01-2019,43467.00,06:45:00,0.28125,0.64
02-01-2019,43467.00,06:50:00,0.284722222,0.83
02-01-2019,43467.00,06:55:00,0.288194444,1.26
02-01-2019,43467.00,07:00:00,0.291666667,1.9
02-01-2019,43467.00,07:05:00,0.295138889,2.75
02-01-2019,43467.00,07:10:00,0.298611111,4.13
02-01-2019,43467.00,07:15:00,0.302083333,5.99
02-01-2019,43467.00,07:20:00,0.305555556,8.24
02-01-2019,43467.00,07:25:00,0.309027778,10.9
03-01-2019,43468.00,04:30:00,0.1875,0
03-01-2019,43468.00,04:35:00,0.190972222,0
03-01-2019,43468.00,04:40:00,0.194444444,0
03-01-2019,43468.00,04:45:00,0.197916667,0
03-01-2019,43468.00,04:50:00,0.201388889,0
03-01-2019,43468.00,04:55:00,0.204861111,0
03-01-2019,43468.00,05:00:00,0.208333333,0
03-01-2019,43468.00,05:05:00,0.211805556,0
03-01-2019,43468.00,05:10:00,0.215277778,0
03-01-2019,43468.00,05:15:00,0.21875,0
03-01-2019,43468.00,05:20:00,0.222222222,0
03-01-2019,43468.00,05:25:00,0.225694444,0
03-01-2019,43468.00,05:30:00,0.229166667,0
03-01-2019,43468.00,05:35:00,0.232638889,0
03-01-2019,43468.00,05:40:00,0.236111111,0
03-01-2019,43468.00,05:45:00,0.239583333,0
03-01-2019,43468.00,05:50:00,0.243055556,0
03-01-2019,43468.00,05:55:00,0.246527778,0
