Date,Date_Number,Time,Time_Fraction,HT R Phase Current
23-12-2018,43457.00,07:30:00,0.3125,1.08
23-12-2018,43457.00,07:35:00,0.315972222,1.08
23-12-2018,43457.00,07:40:00,0.319444444,0
23-12-2018,43457.00,07:45:00,0.322916667,0
23-12-2018,43457.00,07:50:00,0.326388889,0
23-12-2018,43457.00,07:55:00,0.329861111,0
23-12-2018,43457.00,08:00:00,0.333333333,0
23-12-2018,43457.00,08:05:00,0.336805556,0
23-12-2018,43457.00,08:10:00,0.340277778,0
23-12-2018,43457.00,08:15:00,0.34375,0
23-12-2018,43457.00,08:20:00,0.347222222,15.12
23-12-2018,43457.00,08:25:00,0.350694444,0
23-12-2018,43457.00,08:30:00,0.354166667,8.12
23-12-2018,43457.00,08:35:00,0.357638889,8.12
23-12-2018,43457.00,08:40:00,0.361111111,8.12
23-12-2018,43457.00,08:45:00,0.364583333,8.12
23-12-2018,43457.00,08:50:00,0.368055556,8.12
23-12-2018,43457.00,08:55:00,0.371527778,8.33
23-12-2018,43457.00,09:00:00,0.375,0
23-12-2018,43457.00,09:05:00,0.378472222,0
23-12-2018,43457.00,09:10:00,0.381944444,0
23-12-2018,43457.00,09:15:00,0.385416667,0
23-12-2018,43457.00,09:20:00,0.388888889,0
23-12-2018,43457.00,09:25:00,0.392361111,0
23-12-2018,43457.00,09:30:00,0.395833333,0
23-12-2018,43457.00,09:35:00,0.399305556,0
23-12-2018,43457.00,09:40:00,0.402777778,0
23-12-2018,43457.00,09:45:00,0.40625,0
23-12-2018,43457.00,09:50:00,0.409722222,0
23-12-2018,43457.00,09:55:00,0.413194444,0
23-12-2018,43457.00,10:00:00,0.416666667,0
23-12-2018,43457.00,10:05:00,0.420138889,0
23-12-2018,43457.00,10:10:00,0.423611111,0
23-12-2018,43457.00,10:15:00,0.427083333,32.16
23-12-2018,43457.00,10:20:00,0.430555556,47.15
23-12-2018,43457.00,10:25:00,0.434027778,47.59
23-12-2018,43457.00,10:30:00,0.4375,56.74
23-12-2018,43457.00,10:35:00,0.440972222,38.26
23-12-2018,43457.00,10:40:00,0.444444444,55.69
23-12-2018,43457.00,10:45:00,0.447916667,63.12
23-12-2018,43457.00,10:50:00,0.451388889,56.39
23-12-2018,43457.00,10:55:00,0.454861111,32.53
23-12-2018,43457.00,11:00:00,0.458333333,39.32
